filters,"tel_timestamp per 12 hours",Count
"tel_chiamato:4607","August 1st 2016, 00:00:00.000",11
"tel_chiamato:4607","August 1st 2016, 12:00:00.000",12
"tel_chiamato:4607","August 2nd 2016, 00:00:00.000",21
"tel_chiamato:4607","August 2nd 2016, 12:00:00.000",7
"tel_chiamato:4607","August 3rd 2016, 00:00:00.000",23
"tel_chiamato:4607","August 3rd 2016, 12:00:00.000",11
"tel_chiamato:4607","August 4th 2016, 00:00:00.000",16
"tel_chiamato:4607","August 4th 2016, 12:00:00.000",32
"tel_chiamato:4607","August 5th 2016, 00:00:00.000",10
"tel_chiamato:4607","August 5th 2016, 12:00:00.000",3
"tel_chiamato:4607","August 8th 2016, 00:00:00.000",13
"tel_chiamato:4607","August 8th 2016, 12:00:00.000",5
"tel_chiamato:4607","August 9th 2016, 00:00:00.000",42
"tel_chiamato:4607","August 9th 2016, 12:00:00.000",23
"tel_chiamato:4607","August 10th 2016, 00:00:00.000",28
"tel_chiamato:4607","August 10th 2016, 12:00:00.000",10
"tel_chiamato:4607","August 11th 2016, 00:00:00.000",12
"tel_chiamato:4607","August 11th 2016, 12:00:00.000",17
"tel_chiamato:4607","August 12th 2016, 00:00:00.000",12
"tel_chiamato:4607","August 12th 2016, 12:00:00.000",6
"tel_chiamato:4607","August 16th 2016, 00:00:00.000",8
"tel_chiamato:4607","August 16th 2016, 12:00:00.000",12
"tel_chiamato:4607","August 17th 2016, 00:00:00.000",43
"tel_chiamato:4607","August 17th 2016, 12:00:00.000",9
"tel_chiamato:4607","August 18th 2016, 00:00:00.000",8
"tel_chiamato:4607","August 18th 2016, 12:00:00.000",5
"tel_chiamato:4607","August 19th 2016, 00:00:00.000",26
"tel_chiamato:4607","August 19th 2016, 12:00:00.000",3
"tel_chiamato:4607","August 22nd 2016, 00:00:00.000",13
"tel_chiamato:4607","August 22nd 2016, 12:00:00.000",1
"tel_chiamato:4607","August 23rd 2016, 00:00:00.000",12
"tel_chiamato:4607","August 23rd 2016, 12:00:00.000",21
"tel_chiamato:4607","August 24th 2016, 00:00:00.000",7
"tel_chiamato:4607","August 24th 2016, 12:00:00.000",9
"tel_chiamato:4607","August 25th 2016, 00:00:00.000",14
"tel_chiamato:4607","August 25th 2016, 12:00:00.000",21
"tel_chiamato:4607","August 26th 2016, 00:00:00.000",17
"tel_chiamato:4607","August 26th 2016, 12:00:00.000",5
"tel_chiamato:4607","August 29th 2016, 00:00:00.000",19
"tel_chiamato:4607","August 29th 2016, 12:00:00.000",4
"tel_chiamato:4607","August 30th 2016, 00:00:00.000",32
"tel_chiamato:4607","August 30th 2016, 12:00:00.000",5
